Title,Genre,Release Year,IMDb Rating
Pathaan,"Action, Thriller",2023,7.0
Jawan,"Action, Drama",2023,7.6
Animal,"Crime, Drama, Action",2023,6.2
12th Fail,"Drama, Biography",2023,9.1
Rocky Aur Rani Kii Prem Kahani,"Comedy, Romance",2023,6.9
Gadar 2,"Action, Drama",2023,
OMG 2,"Comedy, Drama",2023,7.5
Tiger 3,"Action, Thriller",2023,5.4
Dunki,"Comedy, Drama",2023,5.7
Sam Bahadur,"Biography, War",2023,7.6
Fighter,"Action, Drama",2024,
Shaitaan,"Horror, Thriller",2024,6.4
Crew,"Comedy, Adventure",2024,6.8
Article 370,"Drama, Thriller",2024,7.5
Bade Miyan Chote Miyan,"Action, Comedy",2024,3.2
Munjya,"Horror, Comedy",2024,6.9
Kalki 2898 AD,"Action, Sci-Fi, Drama",2024,7.0
Stree 2,"Horror, Comedy",2024,7.5
Bhool Bhulaiyaa 3,"Comedy, Horror",2024,
Singham Again,"Action, Drama",2024,4.7
Pushpa 2: The Rule,"Action, Drama, Crime",2024,6.8
Baby John,"Action, Thriller",2024,3.6
Sky Force,"Action, War, Drama",2025,6.5
Chhaava,"Action, History, Drama",2025,8.3
Sikandar,"Action, Drama",2025,
Housefull 5,"Comedy, Mystery",2025,5.0
War 2,"Action, Thriller",2025,
Coolie,"Action, Drama",2025,6.9
